"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","abund_value","abund_unit","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments"
"198551","occ","9719","","20482","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-82.000000","26.900000","US","Florida","Charlotte","based on political unit","1","","Alligator Creek"
"198677","occ","9741","","20498","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.300003","34.500000","US","Texas","Briscoe","based on political unit","1","",""
"198700","occ","","","20500","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1916","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-102.500000","42.700001","US","Nebraska","Sheridan","based on political unit","1","small collection",""
"198853","occ","","","20516","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","3099","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-97.599998","38.299999","US","Kansas","McPherson","based on political unit","1","",""
"198891","occ","9775","","20522","Mammuthus imperator ?","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","939","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","1","specimens","-117.000000","33.900002","US","California","Riverside","based on political unit","1","",""
"198913","occ","","","20527","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2018","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-117.900002","36.099998","US","California","Inyo","based on political unit","1","small collection","W of Tecopa and Tecopa Hot Springs"
"198957","occ","9790","","20530","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6202","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.900002","33.700001","US","Texas","Lubbock","based on political unit","1","small collection","Yellowhouse Canyon, 7.6 km NE of Slaton"
"198978","occ","","","20533","Elephas columbi","species","46017","recombined as","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","1302","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-99.800003","34.000000","US","Texas","Foard","based on political unit","1","",""
"198991","occ","","","20538","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2392","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-110.099998","35.799999","US","Arizona","Navajo","based on political unit","1","","0.15 km N of Taylor, W of Arizona Highway 77"
"199009","occ","","","20543","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","2391","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-122.500000","37.700001","US","California","San Mateo","based on political unit","1","small collection","near San Francisco"
"199011","occ","","","20545","Mammuthus primigenius","species","47880","","Mammuthus primigenius","species","46027","Irvingtonian","","1.8","0.3","4222","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-111.000000","47.200001","US","Montana","Cascade","based on political unit","1","","north of Fort Peck"
"199012","occ","9805","","20546","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","6294","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.800003","35.099998","US","New Mexico","Bernalillo","based on political unit","1","small collection",""
"199016","occ","","","20549","Mammuthus imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","2320","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-106.800003","35.099998","US","New Mexico","Bernalillo","based on political unit","1","small collection",""
"199165","occ","","","20563","Mammuthus hayi","species","47876","","Mammuthus hayi","species","44254","Irvingtonian","","1.8","0.3","1200","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-107.900002","50.700001","CA","Saskatchewan","","based on nearby landmark","1","","coordinates provided by Harington 1978"
"199197","occ","","","20568","Mammuthus cf. imperator","species","47877","subjective synonym of","Mammuthus columbi","species","46017","Irvingtonian","","1.8","0.3","6202","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-101.900002","35.000000","US","Texas","Randall","based on political unit","1","small collection","Newton Harrell/Bill Howse Ranch, 6.4 km S and 19 km E of Canyon"
"199225","occ","9846","","20569","Mammuthus columbi","species","47873","","Mammuthus columbi","species","46017","Late Pleistocene","","0.126","0.0117","6225","Chordata","Mammalia","Proboscidea","Elephantidae","Mammuthus","","","-112.900002","42.799999","US","Idaho","Power","based on political unit","1","",""
